Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Bronze-tailed Peacock-Pheasant	btpphe1	0.8025	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	0.0
2	Spectrogram 1	1	0.0	3.0	0	15000	Slender-billed Crow	slbcro2	0.1822	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	0.0
3	Spectrogram 1	1	0.0	3.0	0	15000	White-bellied Treepie	whbtre1	0.1308	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	0.0
4	Spectrogram 1	1	0.0	3.0	0	15000	Hooded Pitta	hoopit2	0.1264	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	0.0
5	Spectrogram 1	1	0.0	3.0	0	15000	Dusky Nightjar	dusnig1	0.0893	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	0.0
6	Spectrogram 1	1	3.0	6.0	0	15000	Bronze-tailed Peacock-Pheasant	btpphe1	0.6738	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	3.0
7	Spectrogram 1	1	3.0	6.0	0	15000	Slender-billed Crow	slbcro2	0.5326	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	3.0
8	Spectrogram 1	1	3.0	6.0	0	15000	White-bellied Treepie	whbtre1	0.0692	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	3.0
9	Spectrogram 1	1	3.0	6.0	0	15000	Hooded Pitta	hoopit2	0.0604	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	3.0
10	Spectrogram 1	1	3.0	6.0	0	15000	Malayan Laughingthrush	mallau1	0.0218	D:\projects\wildlife\wildsight-ai\uploads\audio\6a2ef199-7a75-4b21-bc25-0d089a2a2c15_XC1082270 - Bronze-tailed Peacock-Pheasant - Polyplectron chalcurum.wav	3.0
