epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1063.65,1.6185,4.12732,2.05189,0.66076,0.09096,0.08848,0.04975,1.79703,3.68599,2.65238,0.000138219,0.000138219,0.000138219
2,1904.99,1.61166,3.232,2.04522,0.54538,0.15113,0.14293,0.0672,1.9668,3.3694,2.68513,0.000263497,0.000263497,0.000263497
3,2890.72,1.6223,2.8141,2.03009,0.54385,0.18396,0.15243,0.06319,1.82546,3.66965,2.63037,0.000375013,0.000375013,0.000375013
4,4189.46,1.57811,2.59695,2.0071,0.43177,0.23897,0.23269,0.11309,1.9383,2.77972,2.64714,0.000355076,0.000355076,0.000355076
5,5412.65,1.55662,2.4153,1.96996,0.39844,0.28708,0.2508,0.11063,1.84541,2.64281,2.6878,0.000334434,0.000334434,0.000334434
6,6635.02,1.53782,2.31302,1.93349,0.45348,0.30524,0.35069,0.1742,1.83306,2.33312,2.52701,0.000313792,0.000313792,0.000313792
7,8076.61,1.50251,2.20957,1.90644,0.39538,0.31733,0.31498,0.15667,1.71521,2.29758,2.4668,0.000293151,0.000293151,0.000293151
8,9508.06,1.488,2.10535,1.88335,0.48028,0.27153,0.32813,0.17388,1.786,2.28768,2.47978,0.000272509,0.000272509,0.000272509
9,11020.8,1.43931,1.9843,1.83545,0.49968,0.28952,0.40645,0.20638,1.73921,1.99417,2.49272,0.000251868,0.000251868,0.000251868
10,12295.3,1.43405,1.91538,1.83763,0.41131,0.30413,0.33256,0.15887,1.797,2.08178,2.50465,0.000231226,0.000231226,0.000231226
11,13450.6,1.47786,2.03232,2.13104,0.52124,0.35839,0.38537,0.19986,1.72914,2.16528,2.45322,0.000210585,0.000210585,0.000210585
12,15035.5,1.45813,1.83579,2.0886,0.39774,0.40958,0.42327,0.24767,1.61777,1.81239,2.3967,0.000189943,0.000189943,0.000189943
13,16612.4,1.40168,1.78148,2.02961,0.38695,0.38941,0.45749,0.24188,1.72129,1.99005,2.47834,0.000169302,0.000169302,0.000169302
14,17885.7,1.36133,1.65235,1.98483,0.39442,0.36463,0.41023,0.22548,1.64438,2.00977,2.45292,0.00014866,0.00014866,0.00014866
15,18770.8,1.32427,1.58517,1.95447,0.41082,0.4231,0.47294,0.23989,1.72172,1.86496,2.45687,0.000128019,0.000128019,0.000128019
16,19661.7,1.29861,1.5221,1.92626,0.37959,0.51244,0.48373,0.25979,1.67207,1.83037,2.46313,0.000107378,0.000107378,0.000107378
17,21040.8,1.28396,1.47261,1.90755,0.47719,0.37552,0.47727,0.25879,1.71886,1.82249,2.46976,8.6736e-05,8.6736e-05,8.6736e-05
18,22090.4,1.21767,1.43121,1.84391,0.49177,0.42307,0.47142,0.27786,1.794,1.82144,2.50511,6.60945e-05,6.60945e-05,6.60945e-05
19,23040.5,1.20955,1.37721,1.83639,0.43836,0.43174,0.46598,0.26718,1.72983,1.76468,2.51237,4.5453e-05,4.5453e-05,4.5453e-05
20,24108.1,1.18881,1.30959,1.81913,0.48558,0.41449,0.46694,0.26077,1.86129,1.73419,2.60992,2.48115e-05,2.48115e-05,2.48115e-05
